AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up (Date);ETD;ETA;Docs released / Delivered (Date)
BRU525314;UA;0149/12;BRU;GRU;2019-02-12 05:14;2019-02-12 10:00:00.0;2019-02-13 10:40:00.0;
BRU102828;UA;0998;BRU;EZE;2019-02-12 04:58;2019-02-12 10:00:00.0;2019-02-13 10:50:00.0;
SIN658717;SQ;178;SIN;SGN;2019-02-12 16:15;2019-02-13 09:45:00.0;2019-02-13 10:55:00.0;
SIN658806;SQ;178;SIN;SGN;2019-02-12 19:29;2019-02-13 09:45:00.0;2019-02-13 10:55:00.0;
ICN607560;KE;691/13;ICN;TPE;2019-02-13 00:40;2019-02-13 09:00:00.0;2019-02-13 11:00:00.0;
TPE621987;CI;160/13;TPE;ICN;2019-02-12 18:00;2019-02-13 07:50:00.0;2019-02-13 11:15:00.0;
TPE621758;BR;271/13;TPE;MNL;2019-02-12 16:00;2019-02-13 09:10:00.0;2019-02-13 11:45:00.0;
TPE621979;BR;271/13;TPE;MNL;2019-02-12 14:00;2019-02-13 09:10:00.0;2019-02-13 11:45:00.0;
EIN108019;KL;8140;EIN;LAX;2019-02-12 12:00;2019-02-12 21:59:00.0;2019-02-13 11:55:00.0;
NRT211687;CI;107/13;NRT;TPE;2019-02-12 09:00;2019-02-13 09:20:00.0;2019-02-13 12:30:00.0;
SIN658644;SQ;828;SIN;PVG;2019-02-12 17:44;2019-02-13 07:30:00.0;2019-02-13 12:45:00.0;
KIX678867;OZ;111/13;KIX;ICN;2019-02-12 11:00;2019-02-13 10:50:00.0;2019-02-13 12:50:00.0;
KIX678902;OZ;111/13;KIX;ICN;2019-02-12 11:00;2019-02-13 10:50:00.0;2019-02-13 12:50:00.0;
SIN658801;SQ;910;SIN;MNL;2019-02-12 18:37;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
SIN658805;SQ;910;SIN;MNL;2019-02-12 19:24;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
SIN658823;SQ;910;SIN;MNL;2019-02-12 19:30;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
SIN658896;SQ;876;SIN;TPE;2019-02-12 19:00;2019-02-13 08:15:00.0;2019-02-13 13:00:00.0;
SIN658643;SQ;910;SIN;MNL;2019-02-12 17:44;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
SIN658732;SQ;910;SIN;MNL;2019-02-12 19:18;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
SIN658711;SQ;910;SIN;MNL;2019-02-12 16:15;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
SIN658809;SQ;910;SIN;MNL;2019-02-12 18:52;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
SIN658733;SQ;910;SIN;MNL;2019-02-12 19:27;2019-02-13 09:20:00.0;2019-02-13 13:00:00.0;
BLR878239;TG;922F/13;BLR;FRA;2019-02-12 01:00;2019-02-13 04:00:00.0;2019-02-13 13:00:00.0;
EIN108049;KL;6149;AMS;JFK;2019-02-12 14:00;2019-02-13 10:40:00.0;2019-02-13 13:30:00.0;
EIN108046;KL;6149;AMS;JFK;2019-02-12 17:00;2019-02-13 10:40:00.0;2019-02-13 13:30:00.0;
KIX678877;VJ;829/13;KIX;SGN;2019-02-12 16:00;2019-02-13 09:30:00.0;2019-02-13 13:30:00.0;
TPE621901;CA;638/13;TPE;PVG;2019-02-12 13:00;2019-02-13 11:55:00.0;2019-02-13 14:05:00.0;
CDG125883;AC;881;CDG;YYZ;2019-02-12 09:00;2019-02-13 11:30:00.0;2019-02-13 14:10:00.0;
ICN607491;CI;161/13;ICN;TPE;2019-02-12 11:00;2019-02-13 12:35:00.0;2019-02-13 14:10:00.0;
ICN607494;CI;161/13;ICN;TPE;2019-02-12 15:18;2019-02-13 12:35:00.0;2019-02-13 14:10:00.0;
ICN607497;CI;161/13;ICN;TPE;2019-02-12 11:00;2019-02-13 12:35:00.0;2019-02-13 14:10:00.0;
ICN607490;CI;161/13;ICN;TPE;2019-02-12 11:00;2019-02-13 12:35:00.0;2019-02-13 14:10:00.0;
QGL348120;AA;8050;ZRH;CLT;2019-02-12 10:00;2019-02-12 20:00:00.0;2019-02-13 14:20:00.0;
CDG125860;UA;914;CDG;IAD;2019-02-12 09:00;2019-02-13 12:25:00.0;2019-02-13 14:40:00.0;
FDH004346;AC;847;MUC;YYZ;2019-02-12 16:49;2019-02-13 11:50:00.0;2019-02-13 14:45:00.0;
LHR322966;BR;068/12;LHR;BKK;2019-02-12 11:00;2019-02-12 21:35:00.0;2019-02-13 15:05:00.0;
SYD433956;TG;476/13;SYD;BKK;2019-02-12 12:00;2019-02-13 10:00:00.0;2019-02-13 15:25:00.0;
SIN658743;CX;712;SIN;BKK;2019-02-12 19:26;2019-02-13 14:00:00.0;2019-02-13 15:30:00.0;
SIN941657;CX;712;SIN;BKK;2019-02-12 19:23;2019-02-13 14:00:00.0;2019-02-13 15:30:00.0;
SIN658858;CX;712;SIN;BKK;2019-02-12 19:32;2019-02-13 14:00:00.0;2019-02-13 15:30:00.0;
SIN658872;CX;712;SIN;BKK;2019-02-12 17:12;2019-02-13 14:00:00.0;2019-02-13 15:30:00.0;
SIN658705;CX;712;SIN;BKK;2019-02-12 19:26;2019-02-13 14:00:00.0;2019-02-13 15:30:00.0;
SIN658713;CX;712;SIN;BKK;2019-02-12 16:15;2019-02-13 14:00:00.0;2019-02-13 15:30:00.0;
BLR878258;9W;6072/13;BLR;STR;2019-02-12 12:00;2019-02-13 01:50:00.0;2019-02-13 15:35:00.0;
NRT211145;JL;717/13;NRT;BKK;2019-02-12 10:00;2019-02-13 10:40:00.0;2019-02-13 15:35:00.0;
BLR878255;9W;6072/13;BLR;STR;2019-02-12 12:00;2019-02-13 01:50:00.0;2019-02-13 15:35:00.0;
BLR878256;9W;6072/13;BLR;STR;2019-02-12 12:00;2019-02-13 01:50:00.0;2019-02-13 15:35:00.0;
STR072402;LH;7237S;STR;IAD;2019-02-12 14:42;2019-02-13 00:30:00.0;2019-02-13 15:35:00.0;
EIN108009;KL;8140;EIN;JFK;2019-02-12 12:00;2019-02-12 21:59:00.0;2019-02-13 15:45:00.0;
EIN108014;KL;8140;EIN;JFK;2019-02-12 12:00;2019-02-12 21:59:00.0;2019-02-13 15:45:00.0;
EIN108055;KL;641;AMS;JFK;2019-02-12 17:00;2019-02-13 13:25:00.0;2019-02-13 15:45:00.0;
EIN108004;KL;807;AMS;TPE;2019-02-12 12:00;2019-02-12 20:50:00.0;2019-02-13 15:50:00.0;
EIN108007;KL;807;AMS;TPE;2019-02-12 12:00;2019-02-12 20:50:00.0;2019-02-13 15:50:00.0;
EIN107992;KL;807;AMS;TPE;2019-02-12 09:00;2019-02-12 20:50:00.0;2019-02-13 15:50:00.0;
02031516133;LH;686;BSL;TLV;2019-02-12 10:00;2019-02-12 20:00:00.0;2019-02-13 16:00:00.0;
TPE621960;CA;196/13;TPE;PVG;2019-02-12 14:30;2019-02-13 14:35:00.0;2019-02-13 16:40:00.0;
TPE621988;CA;196/13;TPE;PVG;2019-02-12 18:00;2019-02-13 14:35:00.0;2019-02-13 16:40:00.0;
SYD433950;QF;0081/13;SYD;SIN;2019-02-12 11:00;2019-02-13 11:30:00.0;2019-02-13 16:45:00.0;
NRT211711;KE;704/13;NRT;ICN;2019-02-12 17:00;2019-02-13 14:00:00.0;2019-02-13 16:50:00.0;
NRT211688;KE;704/13;NRT;ICN;2019-02-12 09:00;2019-02-13 14:00:00.0;2019-02-13 16:50:00.0;
HKG622739;CA;112/13;HKG;PEK;2019-02-12 15:00;2019-02-13 14:20:00.0;2019-02-13 17:30:00.0;
KIX678803;JL;037/13;KIX;SIN;2019-02-12 16:00;2019-02-12 21:00:00.0;2019-02-13 17:30:00.0;
KHH621895;BR;716/13;KHH;PEK;2019-02-12 07:00;2019-02-13 15:20:00.0;2019-02-13 17:40:00.0;
KHH621899;BR;722/13;KHH;PVG;2019-02-12 10:00;2019-02-13 16:30:00.0;2019-02-13 18:00:00.0;
GVA945728;5Y;606;LUX;HSV;2019-02-12 00:00;2019-02-13 15:25:00.0;2019-02-13 18:05:00.0;
STR072269;5Y;606;STR;HSV;2019-02-12 12:44;2019-02-12 23:00:00.0;2019-02-13 18:05:00.0;
LHR323640;DI;7147/13;LGW;BOS;2019-02-12 15:00;2019-02-13 16:55:00.0;2019-02-13 18:10:00.0;
ICN607559;KE;693/13;ICN;TPE;2019-02-12 23:40;2019-02-13 16:20:00.0;2019-02-13 18:15:00.0;
12584298513;BA;662;BSL;LCA;2019-02-12 11:00;2019-02-12 17:55:00.0;2019-02-13 18:25:00.0;
TPE621918;BR;722/13;TPE;PVG;2019-02-12 13:30;2019-02-13 16:30:00.0;2019-02-13 18:25:00.0;
TPE621935;BR;722/13;TPE;PVG;2019-02-12 14:00;2019-02-13 16:30:00.0;2019-02-13 18:25:00.0;
KIX678878;CX;565/13;KIX;TPE;2019-02-12 16:00;2019-02-13 16:00:00.0;2019-02-13 18:30:00.0;
KIX678635;CX;565/13;KIX;TPE;2019-02-12 10:00;2019-02-13 16:00:00.0;2019-02-13 18:30:00.0;
KIX678879;CX;565/13;KIX;TPE;2019-02-12 16:00;2019-02-13 16:00:00.0;2019-02-13 18:30:00.0;
TPE621766;BR;716/13;TPE;BJS;2019-02-12 15:30;2019-02-13 15:20:00.0;2019-02-13 18:40:00.0;
TPE621767;BR;716/13;TPE;BJS;2019-02-12 15:00;2019-02-13 15:20:00.0;2019-02-13 18:40:00.0;
02041900784;LH;8424/13;BRU;ALA;2019-02-12 01:17;2019-02-12 19:00:00.0;2019-02-13 18:45:00.0;
TPE618769;TR;899/13;TPE;SIN;2019-02-12 17:00;2019-02-13 16:10:00.0;2019-02-13 18:55:00.0;
TPE621956;SQ;877/13;TPE;SIN;2019-02-12 15:00;2019-02-13 14:10:00.0;2019-02-13 18:55:00.0;
LIS074296;TP;0089/13;LIS;GRU;2019-02-12 07:00;2019-02-13 10:30:00.0;2019-02-13 18:55:00.0;
TPE618767;SQ;877/13;TPE;SIN;2019-02-12 15:00;2019-02-13 14:10:00.0;2019-02-13 18:55:00.0;
TPE621955;SQ;877/13;TPE;SIN;2019-02-12 14:46;2019-02-13 14:10:00.0;2019-02-13 18:55:00.0;
SIN942365;KZ;254;SIN;NRT;2019-02-12 16:16;2019-02-13 07:25:00.0;2019-02-13 19:00:00.0;
06534816972;SV;144;CDG;RUH;2019-02-12 09:00;2019-02-13 11:25:00.0;2019-02-13 19:00:00.0;
BER004850;KL;8430;TXL;JFK;2019-02-12 12:00;2019-02-12 22:00:00.0;2019-02-13 19:30:00.0;
DUS014272;LH;7103S;DUS;SFO;2019-02-12 15:20;2019-02-13 07:25:00.0;2019-02-13 19:35:00.0;
VIE319997;LH;692/13;VIE;AMM;2019-02-12 10:00;2019-02-13 07:10:00.0;2019-02-13 19:40:00.0;
BSL127827;LX;052;BSL;BOS;2019-02-12 10:00;2019-02-12 18:30:00.0;2019-02-13 19:55:00.0;
FDH004347;UA;933;STR;IAD;2019-02-12 16:49;2019-02-12 22:00:00.0;2019-02-13 20:10:00.0;
BKK315379;EY;901/13;BKK;FRA;2019-02-12 15:00;2019-02-13 01:55:00.0;2019-02-13 20:20:00.0;
BLR878252;CX;500/13;BLR;NRT;2019-02-12 12:00;2019-02-13 01:30:00.0;2019-02-13 20:25:00.0;
DWC609289;AF;345/08;DWC;CDG;2019-02-12 10:00;2019-02-13 13:00:00.0;2019-02-13 21:00:00.0;
DWC609287;AF;345/08;DWC;CDG;2019-02-12 10:00;2019-02-13 13:00:00.0;2019-02-13 21:00:00.0;
AMS102247;EK;9918;AMS;DWC;2019-02-12 13:00;2019-02-13 11:40:00.0;2019-02-13 21:00:00.0;
AMS102242;EK;9918;AMS;DWC;2019-02-12 13:00;2019-02-13 11:40:00.0;2019-02-13 21:00:00.0;
PNQ196430;CX;0862/13;BOM;NKG;2019-02-12 10:00;2019-02-13 01:50:00.0;2019-02-13 21:25:00.0;
EIN107797;CV;7962;EIN;TPE;2019-02-12 10:41;2019-02-12 21:15:00.0;2019-02-13 21:30:00.0;
EIN107353;CV;7962;EIN;TPE;2019-02-12 10:39;2019-02-12 21:15:00.0;2019-02-13 21:30:00.0;
FRA042240;LH;572;FRA;JNB;2019-02-12 12:54;2019-02-12 18:00:00.0;2019-02-13 22:00:00.0;
FRA042241;LH;572;FRA;JNB;2019-02-12 12:54;2019-02-12 18:00:00.0;2019-02-13 22:00:00.0;
FRA042242;LH;572;FRA;JNB;2019-02-12 12:54;2019-02-12 18:00:00.0;2019-02-13 22:00:00.0;
FRA042243;LH;572;FRA;JNB;2019-02-12 12:54;2019-02-12 18:00:00.0;2019-02-13 22:00:00.0;
SIN943749;NH;8520;SIN;HKG;2019-02-12 16:30;2019-02-13 17:55:00.0;2019-02-13 22:10:00.0;
SIN658853;NH;8520;SIN;HKG;2019-02-12 17:44;2019-02-13 17:55:00.0;2019-02-13 22:10:00.0;
SIN658865;NH;8520;SIN;HKG;2019-02-12 19:32;2019-02-13 17:55:00.0;2019-02-13 22:10:00.0;
SIN658553;CK;288;SIN;BKK;2019-02-12 19:19;2019-02-13 21:30:00.0;2019-02-13 22:15:00.0;
EIN108041;LH;8160;FRA;JFK;2019-02-12 14:00;2019-02-13 19:50:00.0;2019-02-13 22:25:00.0;
72469626292;LX;154;BSL;BOM;2019-02-12 08:00;2019-02-12 19:50:00.0;2019-02-13 22:30:00.0;
72469626314;LX;154;BSL;BOM;2019-02-12 08:00;2019-02-12 19:50:00.0;2019-02-13 22:30:00.0;
EIN108013;CV;8201;EIN;SEA;2019-02-12 12:00;2019-02-12 17:00:00.0;2019-02-13 22:40:00.0;
POA130551;M3;0001/13;VCP;EZE;2019-02-12 10:00;2019-02-13 18:00:00.0;2019-02-13 23:00:00.0;
PRG609149;SU;206/13;PRG;PVG;2019-02-12 07:00;2019-02-12 18:45:00.0;2019-02-13 23:05:00.0;
SIN658440;CK;288;SIN;BKK;2019-02-12 19:16;2019-02-13 22:30:00.0;2019-02-13 23:15:00.0;
NUE051623;LH;1410;FRA;BEG;2019-02-12 10:32;2019-02-13 21:50:00.0;2019-02-13 23:35:00.0;
SIN914276;TG;402;SIN;BLR;2019-02-11 18:00;2019-02-12 08:15:00.0;2019-02-13 23:55:00.0;
MUC024796;LH;766;MUC;BOM;2019-02-12 10:46;2019-02-12 17:00:00.0;2019-02-13 23:55:00.0;
SIN658762;TG;402;SIN;BLR;2019-02-11 18:00;2019-02-12 08:15:00.0;2019-02-13 23:55:00.0;
SIN914279;TG;402;SIN;BLR;2019-02-11 18:00;2019-02-12 08:15:00.0;2019-02-13 23:55:00.0;
SIN914277;TG;402;SIN;BLR;2019-02-11 18:00;2019-02-12 08:15:00.0;2019-02-13 23:55:00.0;
MUC024807;LH;766;MUC;BOM;2019-02-12 12:52;2019-02-12 17:00:00.0;2019-02-13 23:55:00.0;
ICN607488;KE;925/12;ICN;EIN;2019-02-12 09:00;2019-02-12 14:05:00.0;2019-02-13 23:59:00.0;
ICN607486;KL;856/13;ICN;EIN;2019-02-12 05:00;2019-02-13 00:55:00.0;2019-02-13 23:59:00.0;
MHG007064;AC;873;FRA;YYZ;2019-02-12 16:10;2019-02-14 10:00:00.0;2019-02-14 00:00:00.0;
PRG609082;AC;873/14;PRG;YYZ;2019-02-12 08:05;2019-02-12 18:00:00.0;2019-02-14 00:00:00.0;
ADL702637;NZ;024/14;ADL;YVR;2019-02-12 12:00;2019-02-13 00:00:00.0;2019-02-14 00:00:00.0;
KRK606321;LH;8386/12;KTW;ICN;2019-02-12 11:30;2019-02-12 18:15:00.0;2019-02-14 00:15:00.0;
HYD402965;QR;8111/13;HYD;MXP;2019-02-12 18:00;2019-02-13 11:30:00.0;2019-02-14 00:45:00.0;
02031516111;LH;859;BSL;TLV;2019-02-12 10:00;2019-02-13 20:00:00.0;2019-02-14 00:50:00.0;
SIN940859;CX;714;SIN;PEK;2019-02-12 16:16;2019-02-13 01:25:00.0;2019-02-14 02:10:00.0;
STR072300;P3;804;STR;MEX;2019-02-12 10:04;2019-02-12 22:00:00.0;2019-02-14 03:35:00.0;
DUS014289;P3;804;DUS;MEX;2019-02-12 09:37;2019-02-12 19:30:00.0;2019-02-14 03:35:00.0;
02089957475;LH;4040;MST;JFK;2019-02-12 08:21;2019-02-12 10:00:00.0;2019-02-14 04:00:00.0;
MST100654;LH;7711;MST;JFK;2019-02-12 08:21;2019-02-12 10:00:00.0;2019-02-14 04:00:00.0;
NUE051760;LY;3301;NUE;TLV;2019-02-12 00:00;2019-02-12 20:30:00.0;2019-02-14 04:00:00.0;
PRG609178;LY;809/13;PRG;TLV;2019-02-12 07:00;2019-02-12 18:00:00.0;2019-02-14 04:00:00.0;
AMS102244;AM;026;AMS;MEX;2019-02-12 13:00;2019-02-13 22:25:00.0;2019-02-14 04:05:00.0;
MST100673;AM;026;MST;MEX;2019-02-12 07:00;2019-02-11 12:00:00.0;2019-02-14 04:05:00.0;
DUS014264;LH;7103S;DUS;BOM;2019-02-12 15:20;2019-02-12 23:00:00.0;2019-02-14 04:20:00.0;
NUE051605;LA;8071;DUS;GRU;2019-02-12 09:19;2019-02-12 19:30:00.0;2019-02-14 04:50:00.0;
PRG609218;LA;8071/13;PRG;GRU;2019-02-12 12:00;2019-02-12 18:00:00.0;2019-02-14 04:50:00.0;
DEL174293;MU;0564/14;DEL;PVG;2019-02-12 09:30;2019-02-13 20:40:00.0;2019-02-14 04:55:00.0;
DEL174295;MU;0564/14;DEL;PVG;2019-02-12 09:30;2019-02-13 20:40:00.0;2019-02-14 04:55:00.0;
DEL174292;MU;0564/14;DEL;PVG;2019-02-12 09:30;2019-02-13 20:40:00.0;2019-02-14 04:55:00.0;
DEL174294;MU;0564/14;DEL;PVG;2019-02-12 09:30;2019-02-13 20:40:00.0;2019-02-14 04:55:00.0;
KIX678880;JL;727/14;KIX;BKK;2019-02-12 16:00;2019-02-14 00:50:00.0;2019-02-14 05:00:00.0;
TPE621900;CA;1044/13;TPE;STR;2019-02-12 10:00;2019-02-13 08:00:00.0;2019-02-14 05:00:00.0;
PNQ196428;TG;0318/14;BOM;BKK;2019-02-12 10:00;2019-02-13 23:20:00.0;2019-02-14 05:05:00.0;
IST984495;TK;0720/13;IST;BOM;2019-02-12 07:00;2019-02-13 20:05:00.0;2019-02-14 05:15:00.0;
IST984496;TK;0720/13;IST;BOM;2019-02-12 07:00;2019-02-13 20:05:00.0;2019-02-14 05:15:00.0;
IST984502;TK;0720/13;IST;BOM;2019-02-12 07:00;2019-02-13 20:05:00.0;2019-02-14 05:15:00.0;
IST984503;TK;0720/13;IST;BOM;2019-02-12 07:00;2019-02-13 20:05:00.0;2019-02-14 05:15:00.0;
MIL148045;CA;968;MIL;PVG;2019-02-12 08:00;2019-02-13 11:30:00.0;2019-02-14 05:30:00.0;
MIL148053;CA;968;MIL;PVG;2019-02-12 12:00;2019-02-13 11:30:00.0;2019-02-14 05:30:00.0;
FKB014434;LH;8272;FKB;VCP;2019-02-12 13:23;2019-02-12 23:00:00.0;2019-02-14 05:45:00.0;
MNL600525;CX;3254/14;MNL;PVG;2019-02-12 09:00;2019-02-13 11:00:00.0;2019-02-14 05:50:00.0;
MNL600524;CX;3254/14;MNL;PVG;2019-02-12 09:00;2019-02-13 11:00:00.0;2019-02-14 05:50:00.0;
QGL348137;EK;086;ZRH;HKG;2019-02-12 10:00;2019-02-12 21:55:00.0;2019-02-14 06:00:00.0;
BLR878260;TG;0326/14;BLR;BKK;2019-02-12 01:30;2019-02-14 01:10:00.0;2019-02-14 06:15:00.0;
BRE003040;CV;8923;BRE;ALA;2019-02-12 15:40;2019-02-12 20:00:00.0;2019-02-14 06:30:00.0;
DUS014256;AI;120;DUS;DEL;2019-02-12 08:00;2019-02-12 19:30:00.0;2019-02-14 06:30:00.0;
NUE051569;AI;120;NUE;DEL;2019-02-12 16:00;2019-02-12 20:30:00.0;2019-02-14 06:30:00.0;
NUE051570;AI;120;NUE;DEL;2019-02-12 15:30;2019-02-12 20:30:00.0;2019-02-14 06:30:00.0;
FKB014511;AI;120;FKB;DEL;2019-02-12 14:06;2019-02-12 23:00:00.0;2019-02-14 06:30:00.0;
PRG609253;AI;120/13;PRG;DEL;2019-02-12 11:24;2019-02-12 18:00:00.0;2019-02-14 06:30:00.0;
PRG609217;LH;506/13;PRG;GRU;2019-02-12 07:00;2019-02-12 20:30:00.0;2019-02-14 06:55:00.0;
PRG609232;LH;506/13;PRG;GRU;2019-02-12 08:00;2019-02-13 10:45:00.0;2019-02-14 06:55:00.0;
BNE503366;SQ;0336/14;BNE;CDG;2019-02-11 13:01;2019-02-13 09:10:00.0;2019-02-14 07:15:00.0;
NUE051805;LH;8400;FRA;PVG;2019-02-12 16:19;2019-02-13 13:35:00.0;2019-02-14 07:20:00.0;
02031516192;LH;8400;BSL;PVG;2019-02-12 10:00;2019-02-12 21:30:00.0;2019-02-14 07:20:00.0;
NUE051816;LH;8400;FRA;PVG;2019-02-12 17:03;2019-02-13 13:35:00.0;2019-02-14 07:20:00.0;
NUE051811;LH;8400;FRA;PVG;2019-02-12 16:39;2019-02-13 13:35:00.0;2019-02-14 07:20:00.0;
NKG213608;OZ;988/14;PVG;ICN;2019-02-12 16:00;2019-02-14 04:00:00.0;2019-02-14 07:35:00.0;
GVA945995;LX;2819;GVA;PVG;2019-02-12 13:00;2019-02-12 20:00:00.0;2019-02-14 07:55:00.0;
