AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up (Date);ETD;ETA;Docs released / Delivered (Date)
NKG214186;RU;367/21;PVG;LAX;2019-03-20 08:34;2019-03-21 00:00:00.0;2019-03-22 00:00:00.0;
PVG961825;RU;452/22;PVG;VCP;2019-02-27 10:00;2019-03-21 00:00:00.0;2019-03-21 05:00:00.0;
PVG964276;5Y;031/26;PVG;VCP;2019-03-19 09:16;2019-03-21 00:00:00.0;2019-03-26 15:45:00.0;
PVG967034;RU;367/21;PVG;LAX;2019-03-19 01:22;2019-03-21 00:00:00.0;2019-03-22 00:00:00.0;
PVG968369;AM;201/22;PVG;MEX;2019-03-18 22:04;2019-03-21 00:00:00.0;2019-03-23 05:20:00.0;
PVG968408;AC;120/22;PVG;YUL;2019-03-19 08:00;2019-03-21 00:00:00.0;2019-03-22 23:00:00.0;
PVG968409;AC;120/22;PVG;YUL;2019-03-19 08:00;2019-03-21 00:00:00.0;2019-03-22 23:00:00.0;
PVG968570;RU;367/21;PVG;LAX;2019-03-19 10:22;2019-03-21 00:00:00.0;2019-03-22 00:00:00.0;
NKG214122;RU;452/22;PVG;ORD;2019-03-20 10:00;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
ZHV247295;LX;160;ZRH;NRT;2019-03-20 00:00;2019-03-21 00:00:00.0;2019-03-22 07:50:00.0;
PVG963661;RU;452/22;PVG;ORD;2019-03-16 13:56;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG964277;5Y;031/26;PVG;VCP;2019-03-19 09:26;2019-03-21 00:00:00.0;2019-03-26 15:45:00.0;
PVG966702;AM;201/22;PVG;MEX;2019-03-19 08:00;2019-03-21 00:00:00.0;2019-03-23 05:20:00.0;
PVG966997;QT;707/27;PVG;CLO;2019-03-17 05:30;2019-03-21 00:00:00.0;2019-03-27 19:10:00.0;
PVG967033;RU;452/22;PVG;ORD;2019-03-19 10:17;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG967678;QT;713/28;PVG;MDE;2019-03-16 11:22;2019-03-21 00:00:00.0;2019-03-28 16:50:00.0;
PVG968407;AC;120/22;PVG;YUL;2019-03-19 08:00;2019-03-21 00:00:00.0;2019-03-22 23:00:00.0;
PVG968500;RU;367/21;PVG;LAX;2019-03-19 12:00;2019-03-21 00:00:00.0;2019-03-22 00:00:00.0;
NKG214172;OB;767/27;PVG;SRZ;2019-03-20 06:26;2019-03-21 00:00:00.0;2019-03-28 06:30:00.0;
PVG961332;AC;027/21;PVG;YVR;2019-03-19 02:09;2019-03-21 00:00:00.0;2019-03-22 23:00:00.0;
NKG213681;RU;452/22;PVG;VCP;2019-03-18 18:01;2019-03-21 00:00:00.0;2019-03-31 12:00:00.0;
PVG966956;RU;452/22;PVG;ORD;2019-03-16 11:27;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG967029;RU;452/22;PVG;ORD;2019-03-16 03:52;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG967032;RU;452/22;PVG;ORD;2019-03-19 01:20;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG967123;RU;452/22;PVG;SCL;2019-03-19 08:00;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG967130;RU;452/22;PVG;BOG;2019-03-18 10:00;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG967492;RU;452/22;PVG;ORD;2019-03-18 22:47;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
PVG967690;5Y;031/26;PVG;VCP;2019-03-19 21:16;2019-03-21 00:00:00.0;2019-03-23 05:00:00.0;
HKG622571;LX;6242/22;HKG;BRN;2019-03-15 20:00;2019-03-21 00:05:00.0;2019-03-22 09:55:00.0;
HKG622572;LX;6242/22;HKG;BRN;2019-03-15 20:00;2019-03-21 00:05:00.0;2019-03-22 09:55:00.0;
SIN661096;LX;177;SIN;YUL;2019-03-19 17:13;2019-03-21 00:05:00.0;2019-03-22 16:15:00.0;
SIN661235;LX;177;SIN;GVA;2019-03-19 17:00;2019-03-21 00:05:00.0;2019-03-21 08:20:00.0;
ICN609490;NH;8411/21;ICN;SIN;2019-03-20 09:00;2019-03-21 00:10:00.0;2019-03-21 09:20:00.0;
99954051896;CA;0959/22;DXB;BKK;2019-03-19 12:10;2019-03-21 00:10:00.0;2019-03-22 13:45:00.0;
ICN609489;NH;8411/21;ICN;SIN;2019-03-20 15:42;2019-03-21 00:10:00.0;2019-03-21 09:20:00.0;
HKG202263;OZ;746;HKG;LHR;2019-03-19 16:03;2019-03-21 00:15:00.0;2019-03-21 10:00:00.0;
HKG202205;NH;8520;HKG;OKA;2019-03-19 17:20;2019-03-21 00:30:00.0;2019-03-21 03:35:00.0;
STR077336;LH;7237;STR;IAD;2019-03-20 14:01;2019-03-21 00:30:00.0;2019-03-21 16:35:00.0;
HKG202199;NH;8520;HKG;OKA;2019-03-19 17:21;2019-03-21 00:30:00.0;2019-03-21 04:45:00.0;
HKG202206;NH;8520;HKG;OKA;2019-03-19 17:37;2019-03-21 00:30:00.0;2019-03-21 03:35:00.0;
HKG202305;EK;381;HKG;HAM;2019-03-19 15:55;2019-03-21 00:35:00.0;2019-03-21 21:00:00.0;
PUS609469;QR;859/21;ICN;DOH;2019-03-19 10:00;2019-03-21 00:35:00.0;2019-03-21 05:15:00.0;
SAN776749;CA;984;LAX;PEK;2019-03-18 15:00;2019-03-21 00:40:00.0;2019-03-22 05:30:00.0;
SAN777000;CX;2097;LAX;SIN;2019-03-14 14:00;2019-03-21 00:50:00.0;2019-03-19 11:55:00.0;
SZX161420;CX;086/21;SZX;GDL;2019-03-18 10:52;2019-03-21 00:55:00.0;2019-03-21 09:30:00.0;
NKG214141;EY;932/21;PVG;BOM;2019-03-19 14:07;2019-03-21 01:00:00.0;2019-03-21 10:00:00.0;
PVG964782;SQ;285/22;PVG;AKL;2019-03-15 08:00;2019-03-21 01:00:00.0;2019-03-23 10:50:00.0;
JKT085650;EY;456/21;CGK;FRA;2019-03-19 09:33;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
BLR879185;TG;0556/17;BLR;SGN;2019-03-15 14:00;2019-03-21 01:00:00.0;2019-03-21 19:00:00.0;
SZX161759;RU;125/21;SZX;AMS;2019-03-18 15:00;2019-03-21 01:00:00.0;2019-03-21 16:50:00.0;
JKT085487;EY;456/21;CGK;FRA;2019-03-19 09:09;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
JKT085507;EY;456/21;CGK;FRA;2019-03-19 09:15;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
NKG214202;SQ;7831/21;PVG;SIN;2019-03-19 18:00;2019-03-21 01:00:00.0;2019-03-21 11:25:00.0;
TPE625080;CI;5555/21;TPE;EIN;2019-03-20 10:00;2019-03-21 01:00:00.0;2019-03-22 09:00:00.0;
JKT085486;EY;456/21;CGK;FRA;2019-03-19 09:25;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
JKT085493;EY;456/21;CGK;FRA;2019-03-19 09:01;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
JKT085506;EY;456/21;CGK;FRA;2019-03-19 09:22;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
DEL174743;EK;997/21;DEL;STR;2019-03-18 09:30;2019-03-21 01:00:00.0;2019-03-21 09:00:00.0;
BLR879324;CX;416/21;BLR;ICN;2019-03-20 12:00;2019-03-21 01:00:00.0;2019-03-21 16:00:00.0;
PVG964490;SQ;960/22;PVG;CGK;2019-03-20 10:46;2019-03-21 01:00:00.0;2019-03-22 16:30:00.0;
SZX162031;RU;125/21;SZX;AMS;2019-03-18 15:00;2019-03-21 01:00:00.0;2019-03-21 10:15:00.0;
JKT085484;EY;456/21;CGK;FRA;2019-03-19 09:30;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
JKT085485;EY;456/21;CGK;FRA;2019-03-19 09:04;2019-03-21 01:00:00.0;2019-03-21 07:00:00.0;
LNZ729077;AF;226/22;LNZ;DEL;2019-03-20 14:00;2019-03-21 01:01:00.0;2019-03-22 22:30:00.0;
INN910121;AF;112/22;INN;PVG;2019-03-19 12:40;2019-03-21 01:01:00.0;2019-03-23 07:30:00.0;
GRZ416425;AF;374/22;GRZ;YVR;2019-03-15 12:00;2019-03-21 01:01:00.0;2019-03-22 00:00:00.0;
LNZ729079;AF;3616/22;LNZ;BOS;2019-03-19 14:00;2019-03-21 01:01:00.0;2019-03-22 12:30:00.0;
BNA821182;QR;8144;ATL;BOM;2019-03-13 18:37;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA821257;QR;8144;ATL;CGK;2019-03-18 00:00;2019-03-21 01:10:00.0;2019-03-23 07:45:00.0;
BNA821259;QR;8144;ATL;CGK;2019-03-18 00:00;2019-03-21 01:10:00.0;2019-03-23 07:45:00.0;
RBO115828;QR;8144;ATL;BKK;2019-03-19 08:30;2019-03-21 01:10:00.0;2019-03-23 07:35:00.0;
BNA229164;QR;8144;ATL;BOM;2019-03-18 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229148;QR;8144;ATL;BOM;2019-03-15 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229165;QR;8144;ATL;BOM;2019-03-14 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA821161;QR;8144;ATL;BKK;2019-03-13 09:00;2019-03-21 01:10:00.0;2019-03-23 07:35:00.0;
BNA821231;QR;8144;ATL;CGK;2019-03-15 00:00;2019-03-21 01:10:00.0;2019-03-23 07:45:00.0;
BNA821233;QR;8144;ATL;CGK;2019-03-15 00:00;2019-03-21 01:10:00.0;2019-03-23 07:45:00.0;
BNA821262;QR;8144;ATL;CGK;2019-03-18 00:00;2019-03-21 01:10:00.0;2019-03-23 07:45:00.0;
RBO115826;QR;8144;ATL;BKK;2019-03-18 16:00;2019-03-21 01:10:00.0;2019-03-23 07:35:00.0;
BNA229144;QR;8144;ATL;BOM;2019-03-15 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229163;QR;8144;ATL;BOM;2019-03-15 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229142;QR;8144;ATL;BOM;2019-03-15 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229149;QR;8144;ATL;BOM;2019-03-14 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229262;QR;8144;ATL;BOM;2019-03-14 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229265;QR;8144;ATL;BOM;2019-03-14 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA821256;QR;8144;ATL;BOM;2019-03-18 15:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229143;QR;8144;ATL;BOM;2019-03-15 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229162;QR;8144;ATL;BOM;2019-03-14 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
BNA229161;QR;8144;ATL;BOM;2019-03-14 10:00;2019-03-21 01:10:00.0;2019-03-23 03:00:00.0;
TPE624731;TR;897/21;TPE;SIN;2019-03-20 16:15;2019-03-21 01:25:00.0;2019-03-21 06:15:00.0;
BOM339614;LH;7446/22;BOM;LJU;2019-03-19 10:00;2019-03-21 01:25:00.0;2019-03-22 06:00:00.0;
BLR879323;CX;793/22;BLR;CGK;2019-03-20 12:00;2019-03-21 01:30:00.0;2019-03-22 04:35:00.0;
BLR878623;CX;412/22;BLR;ICN;2019-03-19 10:00;2019-03-21 01:30:00.0;2019-03-22 17:00:00.0;
CVG505622;RU;402;ORD;SIN;2019-03-18 12:39;2019-03-21 01:40:00.0;2019-03-23 19:40:00.0;
IST985577;TK;8551/24;IST;NKG;2019-03-20 10:00;2019-03-21 01:45:00.0;2019-03-25 04:30:00.0;
IST985576;TK;8551/24;IST;NKG;2019-03-19 16:00;2019-03-21 01:45:00.0;2019-03-25 04:30:00.0;
BLR879294;AF;6075/25;BLR;ATL;2019-03-19 14:00;2019-03-21 01:50:00.0;2019-03-25 15:50:00.0;
BLR878964;AF;0688/25;BLR;ATL;2019-03-19 14:00;2019-03-21 01:50:00.0;2019-03-25 18:55:00.0;
BOM339625;9W;162/21;BOM;BKK;2019-03-19 12:00;2019-03-21 01:50:00.0;2019-03-21 15:35:00.0;
BLR879295;AF;6075/25;BLR;ATL;2019-03-19 14:00;2019-03-21 01:50:00.0;2019-03-25 15:50:00.0;
BLR879296;AF;6075/25;BLR;ATL;2019-03-19 14:00;2019-03-21 01:50:00.0;2019-03-25 15:50:00.0;
SZV016513;RU;452/22;PVG;EZE;2019-03-19 02:26;2019-03-21 01:54:00.0;2019-03-28 01:54:00.0;
IST985578;TK;0020/21;IST;PEK;2019-03-19 18:00;2019-03-21 01:55:00.0;2019-03-21 16:10:00.0;
IST985579;TK;0020/21;IST;PEK;2019-03-19 18:00;2019-03-21 01:55:00.0;2019-03-21 16:10:00.0;
SZV016518;7L;5978/22;PVG;MIL;2019-03-19 10:08;2019-03-21 01:56:00.0;2019-03-22 00:00:00.0;
KHH624928;CI;5555/21;KHH;OPO;2019-03-19 18:00;2019-03-21 02:00:00.0;2019-03-22 22:00:00.0;
TPE625041;CI;5637/21;TPE;EIN;2019-03-19 18:00;2019-03-21 02:00:00.0;2019-03-24 22:00:00.0;
PVG945478;RU;413/21;PVG;MIL;2019-03-19 15:18;2019-03-21 02:00:00.0;2019-03-21 20:00:00.0;
PVG958531;RU;475/22;PVG;ZAZ;2019-03-20 02:02;2019-03-21 02:00:00.0;2019-03-22 23:00:00.0;
PVG958545;RU;475/22;PVG;ZAZ;2019-03-18 19:55;2019-03-21 02:00:00.0;2019-03-22 23:00:00.0;
TPE624442;CI;5637/21;TPE;MIL;2019-03-20 15:30;2019-03-21 02:00:00.0;2019-03-24 20:00:00.0;
BRU104537;EK;9644;BRU;SYD;2019-03-14 15:00;2019-03-21 02:00:00.0;2019-03-24 10:30:00.0;
TXG624935;CI;5555/21;TPE;ZIW;2019-03-19 07:00;2019-03-21 02:00:00.0;2019-03-24 16:00:00.0;
TPE624936;CI;5637/21;TPE;GVA;2019-03-19 10:00;2019-03-21 02:00:00.0;2019-03-23 20:00:00.0;
TPE624947;CI;5637/21;TPE;OPO;2019-03-20 17:30;2019-03-21 02:00:00.0;2019-03-22 22:00:00.0;
TPE624729;CI;5637/21;TPE;AMS;2019-03-20 15:30;2019-03-21 02:00:00.0;2019-03-24 20:00:00.0;
KHH624792;CI;5555/21;KHH;BCN;2019-03-19 18:00;2019-03-21 02:00:00.0;2019-03-24 20:00:00.0;
TPE624869;CI;5637/21;TPE;MST;2019-03-18 13:30;2019-03-21 02:00:00.0;2019-03-24 06:00:00.0;
TXG624977;CI;5555/21;TPE;EIN;2019-03-20 12:00;2019-03-21 02:00:00.0;2019-03-22 22:00:00.0;
TPE624989;CI;5637/21;TPE;OPO;2019-03-19 17:30;2019-03-21 02:00:00.0;2019-03-24 20:00:00.0;
TXG624995;CI;5555/21;TPE;BRU;2019-03-20 07:00;2019-03-21 02:00:00.0;2019-03-25 08:00:00.0;
TPE624998;CI;5637/21;TPE;MST;2019-03-19 14:00;2019-03-21 02:00:00.0;2019-03-22 22:00:00.0;
TPE625050;CI;5637/21;TPE;MST;2019-03-20 10:30;2019-03-21 02:00:00.0;2019-03-24 22:00:00.0;
TPE625100;CI;5637/21;TPE;EIN;2019-03-20 18:00;2019-03-21 02:00:00.0;2019-03-24 22:00:00.0;
PVG958694;RU;475/22;PVG;ZAZ;2019-03-18 14:20;2019-03-21 02:00:00.0;2019-03-22 23:00:00.0;
TXG624828;CI;5555/21;TPE;GRZ;2019-03-19 18:00;2019-03-21 02:00:00.0;2019-03-22 22:00:00.0;
TPE625000;CI;5637/21;TPE;EIN;2019-03-19 18:00;2019-03-21 02:00:00.0;2019-03-24 22:00:00.0;
NKG213682;CK;263/21;PVG;HKG;2019-03-19 21:20;2019-03-21 02:00:00.0;2019-03-21 05:00:00.0;
TPE623473;CI;5637/21;TPE;BUD;2019-03-19 18:00;2019-03-21 02:00:00.0;2019-03-27 08:00:00.0;
PVG968346;CI;761/23;PVG;CGK;2019-03-18 19:04;2019-03-21 02:00:00.0;2019-03-23 13:10:00.0;
TPE624372;CI;5637/21;TPE;MIL;2019-03-19 15:00;2019-03-21 02:00:00.0;2019-03-23 10:00:00.0;
SZV016394;SQ;424/21;PVG;BOM;2019-03-15 09:00;2019-03-21 02:05:00.0;2019-03-20 21:45:00.0;
MEX480066;ZZ;4017/19;MEX;MDE;2019-03-13 15:00;2019-03-21 02:25:00.0;2019-03-21 22:20:00.0;
MEX480067;ZZ;4017/19;MEX;MDE;2019-03-13 15:00;2019-03-21 02:25:00.0;2019-03-21 22:20:00.0;
MEX480063;ZZ;4017/19;MEX;MDE;2019-03-13 15:00;2019-03-21 02:25:00.0;2019-03-21 22:20:00.0;
TPE624914;CI;5322/21;TPE;JFK;2019-03-20 10:00;2019-03-21 02:30:00.0;2019-03-23 05:40:00.0;
TPE624919;CI;5322/21;TPE;JFK;2019-03-19 16:00;2019-03-21 02:30:00.0;2019-03-21 05:40:00.0;
TPE624841;CI;5322/21;TPE;JFK;2019-03-20 18:00;2019-03-21 02:30:00.0;2019-03-21 06:40:00.0;
TPE624915;CI;5322/21;TPE;JFK;2019-03-20 07:00;2019-03-21 02:30:00.0;2019-03-21 05:40:00.0;
TPE625063;CI;5322/21;TPE;JFK;2019-03-20 16:00;2019-03-21 02:30:00.0;2019-03-21 05:40:00.0;
PAN945477;SQ;612;SIN;ICN;2019-03-20 18:55;2019-03-21 02:30:00.0;2019-03-21 09:50:00.0;
KHH624721;CI;5322/21;KHH;JFK;2019-03-18 18:00;2019-03-21 02:30:00.0;2019-03-24 22:00:00.0;
MAA560432;CX;090/23;MAA;DFW;2019-03-20 11:03;2019-03-21 02:30:00.0;2019-03-23 06:15:00.0;
23531713216;TK;0160/23;DXB;TNR;2019-03-20 10:08;2019-03-21 02:40:00.0;2019-03-23 10:00:00.0;
PVG966487;7L;9923/22;PVG;KBP;2019-03-19 23:27;2019-03-21 02:45:00.0;2019-03-22 14:00:00.0;
PVG968347;7L;5978/22;PVG;MIL;2019-03-18 12:50;2019-03-21 02:45:00.0;2019-03-22 15:00:00.0;
PVG968471;7L;5978/22;PVG;MIL;2019-03-19 11:55;2019-03-21 02:45:00.0;2019-03-22 15:00:00.0;
PVG968365;7L;5978/22;PVG;MIL;2019-03-16 14:03;2019-03-21 02:45:00.0;2019-03-22 15:00:00.0;
PVG968470;7L;5978/22;PVG;MIL;2019-03-19 11:41;2019-03-21 02:45:00.0;2019-03-22 00:00:00.0;
PVG968497;7L;5978/22;PVG;MIL;2019-03-20 04:30;2019-03-21 02:45:00.0;2019-03-22 00:00:00.0;
PVG082104;5Y;055/24;PVG;VCP;2019-03-19 20:11;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG969009;M3;8483/24;PVG;MAO;2019-03-19 20:49;2019-03-21 03:00:00.0;2019-03-24 15:00:00.0;
PVG081888;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081900;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081968;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081979;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG967380;TK;6348/23;PVG;TLV;2019-03-18 14:32;2019-03-21 03:00:00.0;2019-03-23 15:35:00.0;
CKG072381;CZ;8117/21;CKG;WRO;2019-03-19 10:00;2019-03-21 03:00:00.0;2019-03-27 22:00:00.0;
FRA044216;QR;9015;FRA;ORD;2019-03-14 18:00;2019-03-21 03:00:00.0;2019-03-21 23:45:00.0;
PVG961376;KE;245/22;PVG;MIA;2019-03-19 17:53;2019-03-21 03:00:00.0;2019-03-22 00:00:00.0;
PVG081889;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081893;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081896;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081965;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081969;5Y;055/24;PVG;VCP;2019-03-19 17:48;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081972;5Y;055/24;PVG;VCP;2019-03-19 22:40;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081975;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG967393;TK;6348/23;PVG;TLV;2019-03-18 14:17;2019-03-21 03:00:00.0;2019-03-23 15:35:00.0;
PVG967400;TK;6348/23;PVG;TLV;2019-03-18 14:17;2019-03-21 03:00:00.0;2019-03-23 15:35:00.0;
PVG967405;TK;6348/23;PVG;TLV;2019-03-18 14:23;2019-03-21 03:00:00.0;2019-03-23 15:35:00.0;
PVG968434;KE;245/22;PVG;PTY;2019-03-19 07:27;2019-03-21 03:00:00.0;2019-03-22 00:01:00.0;
PVG968668;5Y;033/27;PVG;EZE;2019-03-20 00:43;2019-03-21 03:00:00.0;2019-03-27 13:40:00.0;
NKG214157;5Y;055/24;PVG;VCP;2019-03-19 22:57;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG082201;5Y;035/26;PVG;MAO;2019-03-20 08:51;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG082202;5Y;035/26;PVG;MAO;2019-03-20 08:25;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG956620;5Y;055/24;PVG;VCP;2019-03-18 17:10;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081852;KE;245/22;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-22 00:01:00.0;
PVG081881;M3;8425/22;PVG;MAO;2019-03-19 05:00;2019-03-21 03:00:00.0;2019-03-27 00:01:00.0;
PVG081890;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081891;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081892;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081967;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081970;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081971;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG081974;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG967361;TK;6348/23;PVG;TLV;2019-03-18 14:23;2019-03-21 03:00:00.0;2019-03-23 15:35:00.0;
PVG968391;QT;800/26;PVG;PTY;2019-03-17 13:32;2019-03-21 03:00:00.0;2019-03-26 14:00:00.0;
PVG082106;5Y;055/24;PVG;VCP;2019-03-19 20:09;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG969010;5Y;055/24;PVG;VCP;2019-03-19 20:43;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG958569;KE;595/22;PVG;ZAZ;2019-03-18 02:36;2019-03-21 03:00:00.0;2019-03-22 12:05:00.0;
PVG081880;M3;8425/22;PVG;MAO;2019-03-19 05:00;2019-03-21 03:00:00.0;2019-03-21 00:01:00.0;
PVG081887;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081897;5Y;035/26;PVG;MAO;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-26 07:00:00.0;
PVG081962;5Y;055/24;PVG;VCP;2019-03-19 05:00;2019-03-21 03:00:00.0;2019-03-27 00:01:00.0;
PVG081973;5Y;055/24;PVG;VCP;2019-03-20 05:00;2019-03-21 03:00:00.0;2019-03-24 16:45:00.0;
PVG967411;TK;6348/23;PVG;TLV;2019-03-18 14:23;2019-03-21 03:00:00.0;2019-03-23 15:35:00.0;
PVG968435;KE;245/22;PVG;PTY;2019-03-19 07:24;2019-03-21 03:00:00.0;2019-03-22 00:01:00.0;
DEL174760;CA;0185/22;DEL;TPE;2019-03-16 23:00;2019-03-21 03:10:00.0;2019-03-22 11:40:00.0;
DEL174771;CA;1883/22;DEL;PVG;2019-03-14 23:00;2019-03-21 03:10:00.0;2019-03-22 10:35:00.0;
SZV016369;BR;692/22;PVG;DFW;2019-03-14 10:25;2019-03-21 03:15:00.0;2019-03-22 09:30:00.0;
SZV016560;BR;692/22;PVG;DFW;2019-03-20 09:23;2019-03-21 03:15:00.0;2019-03-22 09:30:00.0;
NKG214160;BR;221/22;PVG;ATL;2019-03-18 23:29;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
PVG961334;BR;221/22;PVG;ATL;2019-03-19 02:13;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
PVG965427;BR;692/22;PVG;DFW;2019-03-19 09:09;2019-03-21 03:15:00.0;2019-03-22 09:30:00.0;
PVG967682;BR;692/22;PVG;DFW;2019-03-18 12:40;2019-03-21 03:15:00.0;2019-03-22 09:30:00.0;
PVG961882;BR;221/22;PVG;ATL;2019-03-14 09:29;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
SZV016515;BR;221/22;PVG;ATL;2019-03-19 02:05;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
PVG964204;BR;221/22;PVG;ATL;2019-03-16 14:01;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
PVG965706;BR;221/22;PVG;ATL;2019-03-05 15:00;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
PVG967028;BR;221/22;PVG;ATL;2019-03-16 03:34;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
MIA775427;KE;275;MIA;VCP;2019-03-18 15:14;2019-03-21 03:15:00.0;2019-03-21 14:15:00.0;
SZV016531;BR;221/22;PVG;ATL;2019-03-19 09:07;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
PVG964217;BR;221/22;PVG;ATL;2019-03-19 09:29;2019-03-21 03:15:00.0;2019-03-23 00:00:00.0;
COK200901;QR;263/22;COK;WAW;2019-03-20 10:30;2019-03-21 03:35:00.0;2019-03-22 07:30:00.0;
SZV016533;CI;5874/22;PVG;DFW;2019-03-19 10:00;2019-03-21 04:00:00.0;2019-03-22 00:00:00.0;
HKG202129;PO;8028;HKG;LAX;2019-03-19 11:51;2019-03-21 04:00:00.0;2019-03-22 08:00:00.0;
SIN945423;QR;945;SIN;FRA;2019-03-19 17:50;2019-03-21 04:00:00.0;2019-03-21 08:00:00.0;
PVG966697;CI;797/22;PVG;SGN;2019-03-18 08:00;2019-03-21 04:00:00.0;2019-03-22 23:00:00.0;
PVG967503;CI;5874/22;PVG;DFW;2019-03-20 10:21;2019-03-21 04:00:00.0;2019-03-22 00:00:00.0;
CVG505495;5Y;033;MIA;EZE;2019-03-12 09:22;2019-03-21 04:00:00.0;2019-03-21 14:00:00.0;
